,Close
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,13273.112444158503
Total Return [%],32.73112444158504
Benchmark Return [%],0.08152097942100145
Max Gross Exposure [%],100.0
Total Fees Paid,189.44041652568058
Max Drawdown [%],19.21375940504959
Max Drawdown Duration,140 days 00:00:00
Total Trades,9
Total Closed Trades,8
Total Open Trades,1
Open Trade PnL,-489.3079813072309
Win Rate [%],75.0
Best Trade [%],14.030974867368897
Worst Trade [%],-4.499790399130914
Avg Winning Trade [%],6.959856490234176
Avg Losing Trade [%],-3.8585188401194555
Avg Winning Trade Duration,15 days 16:00:00
Avg Losing Trade Duration,39 days 12:00:00
Profit Factor,5.456596742962407
Expectancy,470.30255318321645
Sharpe Ratio,0.9202920705023754
Calmar Ratio,1.1845792917179907
Omega Ratio,1.2347384500606085
Sortino Ratio,1.6391134355779786
