,Close
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,11968.446635882228
Total Return [%],19.684466358822284
Benchmark Return [%],43.830295492799664
Max Gross Exposure [%],100.0
Total Fees Paid,149.2152796207674
Max Drawdown [%],10.367869539840012
Max Drawdown Duration,111 days 00:00:00
Total Trades,7
Total Closed Trades,7
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],85.71428571428571
Best Trade [%],6.89585598029802
Worst Trade [%],-4.301795209258306
Avg Winning Trade [%],3.8187990338510844
Avg Losing Trade [%],-4.301795209258306
Avg Winning Trade Duration,8 days 04:00:00
Avg Losing Trade Duration,19 days 00:00:00
Profit Factor,5.580448363226101
Expectancy,281.2066622688896
Sharpe Ratio,0.7260015198345138
Calmar Ratio,1.3404714389625132
Omega Ratio,1.3415066612625044
Sortino Ratio,1.1441481302212564
