,SASA.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,9824.68848201553
Total Return [%],-1.7531151798446991
Benchmark Return [%],-52.48767084171693
Max Gross Exposure [%],100.0
Total Fees Paid,201.44551739100143
Max Drawdown [%],44.13857542661269
Max Drawdown Duration,233 days 00:00:00
Total Trades,11
Total Closed Trades,10
Total Open Trades,1
Open Trade PnL,-29.493714823011032
Win Rate [%],30.0
Best Trade [%],12.641273155478942
Worst Trade [%],-12.760065640128776
Avg Winning Trade [%],9.818219613486502
Avg Losing Trade [%],-4.02762721404771
Avg Winning Trade Duration,32 days 16:00:00
Avg Losing Trade Duration,7 days 03:25:42.857142
Profit Factor,0.9478847229534966
Expectancy,-14.58178031614591
Sharpe Ratio,0.15968014205343517
Calmar Ratio,-0.0288913624418376
Omega Ratio,1.0428260805321778
Sortino Ratio,0.23941337947832952
