,ALFAS.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,9630.241144028285
Total Return [%],-3.6975885597171505
Benchmark Return [%],-31.878061600105866
Max Gross Exposure [%],100.0
Total Fees Paid,95.89546183386186
Max Drawdown [%],44.091551434141145
Max Drawdown Duration,378 days 00:00:00
Total Trades,5
Total Closed Trades,5
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],40.0
Best Trade [%],14.488900278038045
Worst Trade [%],-8.394430275392812
Avg Winning Trade [%],10.81943587820288
Avg Losing Trade [%],-7.751919636193823
Avg Winning Trade Duration,48 days 00:00:00
Avg Losing Trade Duration,15 days 00:00:00
Profit Factor,0.8393549200797346
Expectancy,-73.95177119434271
Sharpe Ratio,0.11010196289484504
Calmar Ratio,-0.06092850729089408
Omega Ratio,1.0313942367271192
Sortino Ratio,0.1605792307407136
