,Close
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,10241.052979422397
Total Return [%],2.4105297942239665
Benchmark Return [%],68.1128668694371
Max Gross Exposure [%],100.0
Total Fees Paid,88.60135701975541
Max Drawdown [%],46.536851216586896
Max Drawdown Duration,477 days 00:00:00
Total Trades,6
Total Closed Trades,5
Total Open Trades,1
Open Trade PnL,1147.3298702352095
Win Rate [%],40.0
Best Trade [%],23.383847792406154
Worst Trade [%],-30.885502299830573
Avg Winning Trade [%],20.800018236540822
Avg Losing Trade [%],-13.593831020307354
Avg Winning Trade Duration,5 days 12:00:00
Avg Losing Trade Duration,65 days 16:00:00
Profit Factor,0.7598586596882031
Expectancy,-181.2553781625627
Sharpe Ratio,0.2249190301001677
Calmar Ratio,0.03738922521859867
Omega Ratio,1.0545129432081704
Sortino Ratio,0.382002758217527
