,AEFES.IS
Start,2024-07-31 00:00:00
End,2026-07-31 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,9287.786513584097
Total Return [%],-7.122134864159034
Benchmark Return [%],-15.91014864353536
Max Gross Exposure [%],100.0
Total Fees Paid,127.93015676700783
Max Drawdown [%],26.042375608511797
Max Drawdown Duration,430 days 00:00:00
Total Trades,7
Total Closed Trades,7
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],42.857142857142854
Best Trade [%],7.21303161779072
Worst Trade [%],-9.429386450076871
Avg Winning Trade [%],4.236055528923999
Avg Losing Trade [%],-4.746842827618071
Avg Winning Trade Duration,17 days 16:00:00
Avg Losing Trade Duration,42 days 18:00:00
Profit Factor,0.6025720379331967
Expectancy,-101.74478377370042
Sharpe Ratio,-0.005518112021788361
Calmar Ratio,-0.1996786886684973
Omega Ratio,0.998859440258198
Sortino Ratio,-0.008599615871139873
8
