,GWIND.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,11203.459556185282
Total Return [%],12.03459556185282
Benchmark Return [%],-16.3493435436305
Max Gross Exposure [%],100.0
Total Fees Paid,278.47433963164235
Max Drawdown [%],25.950197013785946
Max Drawdown Duration,238 days 00:00:00
Total Trades,13
Total Closed Trades,13
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],61.53846153846154
Best Trade [%],27.261527726769813
Worst Trade [%],-16.825573659626293
Avg Winning Trade [%],6.590234335728449
Avg Losing Trade [%],-7.053106907079007
Avg Winning Trade Duration,11 days 06:00:00
Avg Losing Trade Duration,34 days 19:11:59.999999
Profit Factor,1.3187295529944565
Expectancy,92.57381201425238
Sharpe Ratio,0.42149054501388145
Calmar Ratio,0.3312341679760332
Omega Ratio,1.0819717275882106
Sortino Ratio,0.6223084777827778
