,CCOLA.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,12120.740284567359
Total Return [%],21.207402845673588
Benchmark Return [%],-89.28663858915232
Max Gross Exposure [%],100.0
Total Fees Paid,170.07601163046505
Max Drawdown [%],33.05638488501668
Max Drawdown Duration,318 days 00:00:00
Total Trades,10
Total Closed Trades,9
Total Open Trades,1
Open Trade PnL,1464.742853249043
Win Rate [%],66.66666666666666
Best Trade [%],11.2991266260359
Worst Trade [%],-18.911902837809873
Avg Winning Trade [%],6.139964763136648
Avg Losing Trade [%],-8.933320335337411
Avg Winning Trade Duration,20 days 04:00:00
Avg Losing Trade Duration,35 days 08:00:00
Profit Factor,1.2551193915017278
Expectancy,72.88860347981273
Sharpe Ratio,0.6025788685835526
Calmar Ratio,0.4530873845886471
Omega Ratio,1.1269099637540396
Sortino Ratio,0.8981580480586113
