,AEFES.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,7949.181067937365
Total Return [%],-20.508189320626354
Benchmark Return [%],-18.72915698301474
Max Gross Exposure [%],100.0
Total Fees Paid,95.90433348000884
Max Drawdown [%],39.65105433044907
Max Drawdown Duration,482 days 00:00:00
Total Trades,6
Total Closed Trades,6
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],9.77620054715159
Worst Trade [%],-10.759141306978908
Avg Winning Trade [%],5.50757150762225
Avg Losing Trade [%],-7.994794595176981
Avg Winning Trade Duration,18 days 12:00:00
Avg Losing Trade Duration,45 days 06:00:00
Profit Factor,0.2795631316449333
Expectancy,-341.80315534377274
Sharpe Ratio,-0.31774923256771354
Calmar Ratio,-0.38691888897634996
Omega Ratio,0.9346325322322858
Sortino Ratio,-0.4669030916546199
