,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,VAKBN.IS,484.45431910934417,2024-10-23,20.621159923553467,9.99000999000964,2024-11-11,22.794320152282715,11.042806848934527,1031.7640420855914,0.1032795806127677,Long,Closed,0
1,1,VAKBN.IS,495.4389832965096,2024-12-11,22.244400764465333,11.020743298786329,2024-12-25,23.612679847717285,11.698642096659032,655.1794124767817,0.059449657315664525,Long,Closed,1
2,2,VAKBN.IS,466.825508223229,2025-02-14,25.009919082641602,11.675268186374524,2025-03-03,27.045800380706787,12.625669508027446,926.1003839570448,0.07932155126318396,Long,Closed,2
3,3,VAKBN.IS,532.8513816202803,2025-03-20,23.647200382232665,12.600443395122056,2025-04-11,21.6200008392334,11.520247317817137,-1104.3167680200997,-0.08764110383983882,Long,Closed,3
4,4,VAKBN.IS,550.5893087374855,2025-04-17,20.881680152893065,11.497229840657383,2025-05-08,22.295320152282716,12.275564910726269,754.5622753162237,0.06562992005672523,Long,Closed,4
5,5,VAKBN.IS,446.2257411479993,2025-08-13,27.454799617767335,12.25103830750595,2025-08-26,29.720440685272216,13.262025672030749,985.4743005431741,0.08044006359356717,Long,Closed,5
6,6,VAKBN.IS,498.0810584630534,2025-09-03,26.5730404586792,13.235528118239017,2025-10-08,24.479999542236328,12.193024083172133,-1067.932587269756,-0.08068681338056997,Long,Closed,6
7,7,VAKBN.IS,515.0285703429621,2025-10-09,23.627159923553467,12.168662396690706,2025-11-03,25.169559314727785,12.963042150026636,769.2480487876468,0.06321549762090091,Long,Closed,7
8,8,VAKBN.IS,356.46932336038026,2026-03-03,36.29244122314453,12.937141965909177,2026-03-13,32.79999923706055,11.692193534255964,-1269.5777671549038,-0.09813433063502235,Long,Closed,8
9,9,VAKBN.IS,365.52232273275735,2026-03-16,31.923720611572264,11.66883250821229,2026-04-09,33.65256121826172,12.300762342405333,607.9602393412208,0.05210120540450708,Long,Closed,9
10,10,VAKBN.IS,401.1683583276504,2026-05-04,30.601080917358402,12.276185394666754,2026-06-02,33.812241065979,13.564401239817562,1262.3752585148172,0.10283123119524462,Long,Closed,10
11,11,VAKBN.IS,436.9430448816444,2026-07-08,30.981840076446534,13.537299539037122,2026-07-24,30.239999771118164,0.0,-337.67926136514325,-0.024944359130958705,Long,Open,11
