,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,72.6672521405832,2024-09-19,137.4760940551758,9.99000999000964,2024-10-11,129.14271673583985,9.384446359163189,-624.9380871959748,-0.06255630252831708,Long,Closed,0
1,1,0,70.24188353635628,2024-12-04,133.33492419433594,9.365696216586002,2024-12-19,125.8313824005127,8.838633307795524,-545.2672383162966,-0.05821961610825923,Long,Closed,1
2,2,0,67.21501472887145,2025-01-03,131.2351672668457,8.820973700785544,2025-01-27,122.52004045104981,8.23518632349924,-602.8435373119876,-0.06834206265213173,Long,Closed,2
3,3,0,68.26961133928224,2025-03-06,120.38639511108397,8.21873240476998,2025-03-21,118.16300355529785,8.06694232740241,-168.07575210073296,-0.02045032540579677,Long,Closed,3
4,4,0,67.8487244690031,2025-05-08,118.65845118713379,8.05082456051332,2025-10-13,165.3733786315918,11.220372801282998,3150.277043406707,0.3912986824799702,Long,Closed,4
5,5,0,60.656366552526286,2025-10-24,184.61301113891602,11.19795447400611,2025-12-16,178.9867223815918,10.856684240813093,-363.3248719094358,-0.03244564645737509,Long,Closed,5
6,6,0,56.28399928301001,2026-01-06,192.50573345947262,10.834992564006825,2026-02-10,205.54233041381838,11.568744377639561,711.348076689642,0.06565284401325767,Long,Closed,6
7,7,0,51.042989100058854,2026-03-03,226.19423757934572,11.54563000325652,2026-05-21,241.2165969543457,12.312416129093958,742.9280797029409,0.06434712349982245,Long,Closed,7
8,8,0,49.004153120603135,2026-06-02,250.7505,12.287815897067048,2026-06-18,223.65180609130857,10.959867351397927,-1351.1962289183343,-0.1099622781002738,Long,Closed,8
9,9,0,46.19609436763692,2026-07-01,236.77260305786132,10.937969514530778,2026-08-03,,0.0,,,Long,Open,9
