,Close
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,9455.898068907165
Total Return [%],-5.4410193109283504
Benchmark Return [%],14.222370638668625
Max Gross Exposure [%],100.0
Total Fees Paid,159.2056681259761
Max Drawdown [%],34.24306530899981
Max Drawdown Duration,455 days 00:00:00
Total Trades,8
Total Closed Trades,7
Total Open Trades,1
Open Trade PnL,0.0
Win Rate [%],57.14285714285714
Best Trade [%],16.038049930461522
Worst Trade [%],-11.072924770611595
Avg Winning Trade [%],9.411649963554497
Avg Losing Trade [%],-8.559050678162444
Avg Winning Trade Duration,14 days 06:00:00
Avg Losing Trade Duration,34 days 00:00:00
Profit Factor,1.3109635050787514
Expectancy,125.38205786706175
Sharpe Ratio,0.027344486931165875
Calmar Ratio,-0.11640872762911157
Omega Ratio,1.0064050890247145
Sortino Ratio,0.03837675581620066
