,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,YKBNK.IS,350.56503738000856,2024-09-16,28.49688053512573,9.99000999000964,2024-10-03,26.31999969482422,9.226871676857867,-782.3551948189909,-0.07831375500138098,Long,Closed,0
1,1,YKBNK.IS,336.13958321173254,2024-10-04,27.39468015289307,9.208436368811817,2024-10-18,25.100000381469727,8.437103666841562,-788.9782420062892,-0.08567993635471687,Long,Closed,1
2,2,YKBNK.IS,348.40129127661277,2024-10-21,24.168240840911864,8.42024631685672,2024-11-13,27.40507908630371,9.547964941205908,1109.750413089982,0.13179548095501575,Long,Closed,2
3,3,YKBNK.IS,332.51287498706233,2024-12-20,28.657200382232666,9.528888088176245,2025-01-21,32.51484182739258,10.811603535775895,1262.3749559754162,0.13247872619490358,Long,Closed,3
4,4,YKBNK.IS,369.79617753996865,2025-02-03,29.178240840911865,10.79000193030879,2025-03-03,31.097679847717284,11.499803138047566,687.5114026694007,0.06371744946014671,Long,Closed,4
5,5,YKBNK.IS,428.3440078197144,2025-03-20,26.7934797706604,11.476826508400336,2025-03-21,24.079999923706055,10.31452367561867,-1184.0941829664675,-0.10317261327420975,Long,Closed,5
6,6,YKBNK.IS,424.51934610844523,2025-03-24,24.24840076446533,10.293915236705288,2025-04-18,22.15999984741211,9.407348644986634,-906.2678556014031,-0.08803917991959041,Long,Closed,6
7,7,YKBNK.IS,415.32860545978406,2025-04-28,22.605119464874267,9.388552743597756,2025-05-09,24.13164030456543,10.022560515152279,614.5966582954784,0.06546234282110894,Long,Closed,7
8,8,YKBNK.IS,305.83855592308913,2025-08-15,32.70527938842773,10.002535419216656,2025-08-22,34.191478324890134,10.457072355760001,434.0773287671154,0.043396729986391346,Long,Closed,8
9,9,YKBNK.IS,329.8083734213855,2025-09-02,31.643159923553462,10.436179104299299,2025-09-03,29.239999771118164,9.643596763354166,-812.6621168134287,-0.07786969816171453,Long,Closed,9
10,10,YKBNK.IS,317.8398020779361,2025-09-04,30.2804393119812,9.624328837751818,2025-09-22,35.50884182739258,11.286123258435197,1640.8839685859487,0.1704933399770489,Long,Closed,10
11,11,YKBNK.IS,360.2913815377219,2025-10-09,31.262400764465333,11.263573561613157,2025-10-14,28.760000228881836,10.361980215489035,-923.218899903216,-0.08196500825008421,Long,Closed,11
12,12,YKBNK.IS,364.17204062713853,2025-10-15,28.396680152893065,10.341276958313756,2025-10-31,33.532798477172854,12.211707649370641,1847.8777064477251,0.17868950941903558,Long,Closed,12
13,13,YKBNK.IS,345.7357180853471,2025-12-26,35.25036030578613,12.187308633087014,2026-01-02,38.04375893402099,13.153086313719589,940.4372856845985,0.07716529662105537,Long,Closed,13
14,14,YKBNK.IS,353.30648769256356,2026-03-03,37.154161834716795,13.126806420983485,2026-03-24,33.34000015258789,11.77923835358036,-1372.4741121790873,-0.10455506603533145,Long,Closed,14
15,15,YKBNK.IS,358.56474621778625,2026-03-30,32.78544122314453,11.755703411814466,2026-04-08,37.46492091369629,13.433599859488943,1652.707144402673,0.14058768637711924,Long,Closed,15
16,16,YKBNK.IS,374.9999828107107,2026-05-20,35.751360305786136,13.40675950012701,2026-05-21,32.119998931884766,12.044999047336834,-1387.2122113399562,-0.10347110435796023,Long,Closed,16
17,17,YKBNK.IS,365.0924836843017,2026-05-22,32.92572061157227,12.020933115172738,2026-06-12,38.02379847717285,13.882203025142408,1835.366773827768,0.15268089059666579,Long,Closed,17
18,18,YKBNK.IS,381.74523093051647,2026-07-08,36.29244122314453,13.85446635576045,2026-07-16,33.52000045776367,12.796100315540011,-1085.0166068927942,-0.07831529407421603,Long,Closed,18
19,19,YKBNK.IS,383.6557232397496,2026-07-17,33.28644122314453,12.770533681541565,2026-07-24,33.36000061035156,0.0,15.450946218445097,0.001209890408947915,Long,Open,19
