,GWIND.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,10803.293229741841
Total Return [%],8.03293229741841
Benchmark Return [%],-16.3493435436305
Max Gross Exposure [%],100.0
Total Fees Paid,207.57944203007804
Max Drawdown [%],25.950197013785946
Max Drawdown Duration,275 days 00:00:00
Total Trades,11
Total Closed Trades,10
Total Open Trades,1
Open Trade PnL,-212.6176097418338
Win Rate [%],60.0
Best Trade [%],10.353905172690448
Worst Trade [%],-10.194712846444578
Avg Winning Trade [%],4.6230607556485035
Avg Losing Trade [%],-4.125274660437929
Avg Winning Trade Duration,13 days 08:00:00
Avg Losing Trade Duration,43 days 12:00:00
Profit Factor,1.6095326320179772
Expectancy,101.59108394836755
Sharpe Ratio,0.33402006509247556
Calmar Ratio,0.22223069922406785
Omega Ratio,1.0605250593462663
Sortino Ratio,0.49294843078970507
