,GWIND.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,7867.509059423533
Total Return [%],-21.324909405764675
Benchmark Return [%],-16.3493435436305
Max Gross Exposure [%],100.0
Total Fees Paid,140.11316219748898
Max Drawdown [%],39.82465190846998
Max Drawdown Duration,393 days 00:00:00
Total Trades,8
Total Closed Trades,8
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],25.0
Best Trade [%],1.0864171759363546
Worst Trade [%],-8.94355556273594
Avg Winning Trade [%],0.9434811680192301
Avg Losing Trade [%],-4.194365704433109
Avg Winning Trade Duration,41 days 00:00:00
Avg Losing Trade Duration,15 days 08:00:00
Profit Factor,0.0742166722239197
Expectancy,-266.5613675720584
Sharpe Ratio,-0.4435703724218753
Calmar Ratio,-0.4011034048256677
Omega Ratio,0.8993000750136266
Sortino Ratio,-0.6610036738839731
