,Close
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,13150.629338825058
Total Return [%],31.50629338825058
Benchmark Return [%],177.83171370215194
Max Gross Exposure [%],100.0
Total Fees Paid,220.76208023124602
Max Drawdown [%],16.81355621855137
Max Drawdown Duration,112 days 00:00:00
Total Trades,9
Total Closed Trades,9
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],77.77777777777779
Best Trade [%],9.166774931213673
Worst Trade [%],-5.650154027959795
Avg Winning Trade [%],5.298831819488992
Avg Losing Trade [%],-4.169961657631765
Avg Winning Trade Duration,7 days 10:17:08.571428
Avg Losing Trade Duration,26 days 00:00:00
Profit Factor,3.772932727043335
Expectancy,350.0699265361176
Sharpe Ratio,0.945268479906283
Calmar Ratio,1.3105601056621976
Omega Ratio,1.3359920214290728
Sortino Ratio,1.7194731448287202
