,CCOLA.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,14208.614332574705
Total Return [%],42.08614332574705
Benchmark Return [%],-89.28663858915232
Max Gross Exposure [%],100.0
Total Fees Paid,307.06737454720707
Max Drawdown [%],27.72423841141795
Max Drawdown Duration,203 days 00:00:00
Total Trades,14
Total Closed Trades,14
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],78.57142857142857
Best Trade [%],10.629516535358427
Worst Trade [%],-9.590893395931259
Avg Winning Trade [%],4.482958667730327
Avg Losing Trade [%],-4.04689172390564
Avg Winning Trade Duration,14 days 06:32:43.636363
Avg Losing Trade Duration,28 days 08:00:00
Profit Factor,4.267905121088408
Expectancy,300.6153094696215
Sharpe Ratio,0.9596885216683365
Calmar Ratio,1.0471825494453508
Omega Ratio,1.2167544857956574
Sortino Ratio,1.511130917130375
