,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,215.05758669216215,2024-10-23,46.45272061157227,9.99000999000964,2024-11-13,45.169478324890136,9.7140390006948,-295.67503830589476,-0.029597071334420064,Long,Closed,0
1,1,0,210.51522986404598,2024-11-28,46.051919082641604,9.694630331361623,2024-12-20,44.411,9.349191873492146,-364.4822800754514,-0.03759630513154567,Long,Closed,1
2,2,0,200.42807955577408,2025-01-09,46.5529190826416,9.330512169448411,2025-02-11,50.399,10.101374781531458,751.4307251312738,0.080534777886221,Long,Closed,2
3,3,0,192.9255950144875,2025-03-06,52.25430152893066,10.081192214534894,2025-03-25,50.54870152282715,9.752138318501158,-348.8872265672689,-0.034607734793929625,Long,Closed,3
4,4,0,185.19021794512977,2025-04-14,52.55490076446533,9.732653526654758,2025-05-29,58.6325,10.858165453667821,1104.9211080314967,0.1135272210199731,Long,Closed,4
5,5,0,193.64084924975816,2025-06-25,55.961698471069326,10.83647081739582,2025-07-18,56.736298477172845,10.98646502040751,128.17126717294892,0.011827768406590835,Long,Closed,5
6,6,0,192.4824815740222,2025-08-08,56.96369847106933,10.964514041344955,2025-09-02,52.49479847717284,10.10432908061443,-881.2538038532864,-0.08037326602256997,Long,Closed,6
7,7,0,185.85433614330898,2025-09-22,54.258301528930666,10.084140610921168,2025-10-10,51.846100761413574,9.635822638631625,-468.03793554082284,-0.04641326946927491,Long,Closed,7
8,8,0,182.28632890049133,2025-10-27,52.755301528930666,9.616570245745606,2025-11-25,55.43889923858642,10.105753420486163,469.4608510726815,0.04881790899206419,Long,Closed,8
9,9,0,175.20332652404235,2025-12-22,57.56490076446534,10.085562104959536,2025-12-24,56.387,9.879189972711176,-226.336884327211,-0.02244167275673056,Long,Closed,9
10,10,0,166.2123591388755,2026-01-06,59.31840076446533,9.85945133140558,2026-02-09,67.1654030456543,11.163720092731616,1283.245589900419,0.13015385408036542,Long,Closed,10
11,11,0,153.05129209820402,2026-02-18,72.79530152893066,11.141414957679444,2026-02-19,69.71029847717286,10.66925125448277,-493.9743694105978,-0.044336771522008336,Long,Closed,11
12,12,0,180.7258647215397,2026-03-25,58.91759923553466,10.64793406915851,2026-05-04,60.27920152282715,10.89401081993689,224.53480588866645,0.021087170941357834,Long,Closed,12
13,13,0,174.16602906059939,2026-06-05,62.42459923553467,10.872244564550783,2026-06-25,60.578600761413576,10.550734340662805,-342.9332027948115,-0.03154207953644664,Long,Closed,13
