,Close
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,6596.69570772454
Total Return [%],-34.0330429227546
Benchmark Return [%],-74.24242392046321
Max Gross Exposure [%],100.0
Total Fees Paid,116.949942567518
Max Drawdown [%],41.419312597481316
Max Drawdown Duration,468 days 00:00:00
Total Trades,7
Total Closed Trades,6
Total Open Trades,1
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],5.904545525597447
Worst Trade [%],-8.397818463762832
Avg Winning Trade [%],3.1281952883889623
Avg Losing Trade [%],-5.738598617604581
Avg Winning Trade Duration,57 days 00:00:00
Avg Losing Trade Duration,44 days 12:00:00
Profit Factor,0.25652391696795823
Expectancy,-270.1046144277543
Sharpe Ratio,-0.5525566517659485
Calmar Ratio,-0.6301846392771596
Omega Ratio,0.9069501004953706
Sortino Ratio,-0.8242441646221738
