,CCOLA.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,9667.747898686346
Total Return [%],-3.322521013136538
Benchmark Return [%],-89.19813782724258
Max Gross Exposure [%],100.0
Total Fees Paid,216.09260612385017
Max Drawdown [%],44.56360382373903
Max Drawdown Duration,407 days 00:00:00
Total Trades,13
Total Closed Trades,12
Total Open Trades,1
Open Trade PnL,949.6974569174563
Win Rate [%],33.33333333333333
Best Trade [%],20.179878789093124
Worst Trade [%],-7.867463425854856
Avg Winning Trade [%],9.478331778264781
Avg Losing Trade [%],-5.942656556474528
Avg Winning Trade Duration,38 days 18:00:00
Avg Losing Trade Duration,4 days 09:00:00
Profit Factor,0.6993478943356413
Expectancy,-106.82912985259247
Sharpe Ratio,0.042773914983958425
Calmar Ratio,-0.05413936593533169
Omega Ratio,1.0092066264263801
Sortino Ratio,0.06487246677044742
