,GWIND.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,11731.282734200733
Total Return [%],17.31282734200733
Benchmark Return [%],-16.522293870320137
Max Gross Exposure [%],100.0
Total Fees Paid,54.758818058750606
Max Drawdown [%],12.987012987013
Max Drawdown Duration,84 days 00:00:00
Total Trades,3
Total Closed Trades,2
Total Open Trades,1
Open Trade PnL,270.7672633472357
Win Rate [%],100.0
Best Trade [%],9.247900452936383
Worst Trade [%],4.917544138885227
Avg Winning Trade [%],7.082722295910806
Avg Losing Trade [%],
Avg Winning Trade Duration,48 days 00:00:00
Avg Losing Trade Duration,
Profit Factor,inf
Expectancy,730.2577354267485
Sharpe Ratio,0.6997228233420558
Calmar Ratio,0.941949644770747
Omega Ratio,1.257156578119033
Sortino Ratio,1.15427866652986
