,GWIND.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,10980.867952488821
Total Return [%],9.80867952488821
Benchmark Return [%],-16.522293870320137
Max Gross Exposure [%],100.0
Total Fees Paid,197.71990339225508
Max Drawdown [%],13.804471544289376
Max Drawdown Duration,288 days 00:00:00
Total Trades,10
Total Closed Trades,10
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],70.0
Best Trade [%],9.779104560854115
Worst Trade [%],-9.842237791374702
Avg Winning Trade [%],4.551170524206678
Avg Losing Trade [%],-6.887375045846748
Avg Winning Trade Duration,8 days 06:51:25.714285
Avg Losing Trade Duration,8 days 00:00:00
Profit Factor,1.4656133338044177
Expectancy,98.08679524888223
Sharpe Ratio,0.48042772489180985
Calmar Ratio,0.5068550544754794
Omega Ratio,1.1677740876021525
Sortino Ratio,0.7325806449271495
