,AEFES.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,8743.173083056836
Total Return [%],-12.568269169431643
Benchmark Return [%],-18.72915698301474
Max Gross Exposure [%],100.0
Total Fees Paid,126.86941504842525
Max Drawdown [%],25.472041203360448
Max Drawdown Duration,459 days 00:00:00
Total Trades,7
Total Closed Trades,7
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],42.857142857142854
Best Trade [%],10.581851872312358
Worst Trade [%],-14.828106863486678
Avg Winning Trade [%],6.982564462635543
Avg Losing Trade [%],-7.9258725363074145
Avg Winning Trade Duration,8 days 16:00:00
Avg Losing Trade Duration,26 days 12:00:00
Profit Factor,0.5892638631016284
Expectancy,-179.54670242045194
Sharpe Ratio,-0.24435005721917377
Calmar Ratio,-0.3645723674980884
Omega Ratio,0.934719284936936
Sortino Ratio,-0.3460372772347326
