,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,MGROS.IS,20.69796779668438,2024-08-21,482.65656262207034,9.99000999000964,2024-09-17,507.24955059814454,10.49903486316302,488.53582829985737,0.04890243641281572,Long,Closed,0
1,1,MGROS.IS,22.711448126891426,2024-09-26,461.35577581787106,10.478057770527812,2024-10-01,424.682373046875,9.645151685859256,-853.0292941264611,-0.08141101269031922,Long,Closed,1
2,2,MGROS.IS,22.86797943053441,2024-10-02,420.93271435546876,9.625880653518834,2024-10-21,389.8961181640625,8.916136410220995,-728.2862603626209,-0.07565918242465533,Long,Closed,2
3,3,MGROS.IS,22.97603516033503,2024-10-23,387.28709674072263,8.898321951857724,2024-11-06,422.14538079833983,9.699227111995677,782.3076110729057,0.0879163077381659,Long,Closed,3
4,4,MGROS.IS,17.931529013111938,2025-02-21,539.8227908935547,9.679848036845215,2025-03-05,577.9443948974609,10.363426685069244,663.535373500494,0.06854811883148502,Long,Closed,4
5,5,MGROS.IS,20.35349678608014,2025-03-10,508.15447814941405,10.342720537844798,2025-03-19,465.8104553222656,9.48087160532426,-881.672524665238,-0.08524570701093595,Long,Closed,5
6,6,MGROS.IS,19.78690784805488,2025-03-20,478.19138177490237,9.461928804912532,2025-03-21,436.6365051269531,8.639686290043764,-840.344129965215,-0.08881319520484923,Long,Closed,6
7,7,MGROS.IS,18.29494216176202,2025-05-30,471.30098052978514,8.6224241795735,2025-07-02,501.89510760498047,9.182141964904442,541.9132191858167,0.06284928784524044,Long,Closed,7
8,8,MGROS.IS,18.5492101940399,2025-08-14,494.0262108764648,9.163796026910859,2025-09-02,456.8016662597656,8.473310124440056,-708.1230086239211,-0.07727398193328128,Long,Closed,8
9,9,MGROS.IS,18.707401281056583,2025-09-03,452.0339467163086,8.45638043388135,2025-09-11,416.1258850097656,7.7846339143124945,-687.987533917435,-0.08135721178778943,Long,Closed,9
10,10,MGROS.IS,18.610707655280038,2025-09-12,417.45216485595705,7.769080200197095,2025-10-01,456.1340908813477,8.488978216999698,703.6399583845165,0.090569274644196,Long,Closed,10
11,11,MGROS.IS,20.022093953065056,2025-10-17,423.133426574707,8.472017221560236,2025-11-06,462.7768456420898,9.265761482749006,776.0064824835595,0.0915964241088458,Long,Closed,11
12,12,MGROS.IS,14.70124785353905,2026-03-03,629.0111264648438,9.247248472793217,2026-03-06,567.165283203125,8.33803740229181,-926.7963563767398,-0.10022401356506079,Long,Closed,12
13,13,MGROS.IS,14.477780868950223,2026-03-09,574.7688863525391,8.321377986902007,2026-04-01,611.6306715087891,8.855054834833124,516.500415108775,0.06206909671952384,Long,Closed,13
14,14,MGROS.IS,14.010679859630557,2026-07-02,630.759,8.837362417580152,2026-07-24,623.0,0.0,-117.54622744845437,-0.0133010531756186,Long,Open,14
