,ALFAS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,5938.175868445693
Total Return [%],-40.618241315543074
Benchmark Return [%],-31.61394553116783
Max Gross Exposure [%],100.0
Total Fees Paid,103.35097910343208
Max Drawdown [%],48.06956659067831
Max Drawdown Duration,364 days 00:00:00
Total Trades,7
Total Closed Trades,6
Total Open Trades,1
Open Trade PnL,-598.2734151195928
Win Rate [%],33.33333333333333
Best Trade [%],8.744481402588299
Worst Trade [%],-31.676926815303634
Avg Winning Trade [%],4.8787095069577004
Avg Losing Trade [%],-11.303930314188598
Avg Winning Trade Duration,13 days 00:00:00
Avg Losing Trade Duration,55 days 18:00:00
Profit Factor,0.20465325918444408
Expectancy,-577.2584527391193
Sharpe Ratio,-0.827285374033309
Calmar Ratio,-0.6550979822281151
Omega Ratio,0.8501743139965414
Sortino Ratio,-1.1085532748053746
