,CCOLA.IS
Start,2024-07-24 00:00:00
End,2026-07-24 00:00:00
Period,505 days 00:00:00
Start Value,10000.0
End Value,9911.614735423556
Total Return [%],-0.8838526457644367
Benchmark Return [%],-89.19813782724258
Max Gross Exposure [%],100.0
Total Fees Paid,206.86931021834897
Max Drawdown [%],17.289147516408747
Max Drawdown Duration,450 days 00:00:00
Total Trades,11
Total Closed Trades,11
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],54.54545454545454
Best Trade [%],7.441701959248663
Worst Trade [%],-8.330135831224247
Avg Winning Trade [%],4.517283588186211
Avg Losing Trade [%],-5.254499225364011
Avg Winning Trade Duration,4 days 12:00:00
Avg Losing Trade Duration,8 days 19:12:00
Profit Factor,0.9651161408649227
Expectancy,-8.035024052404111
Sharpe Ratio,0.038759270208120054
Calmar Ratio,-0.03699487203754938
Omega Ratio,1.0142172278776183
Sortino Ratio,0.05556345897643779
