,AEFES.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,9886.22066161397
Total Return [%],-1.1377933838602985
Benchmark Return [%],-18.72915698301474
Max Gross Exposure [%],100.0
Total Fees Paid,215.76377871095028
Max Drawdown [%],22.986272159948744
Max Drawdown Duration,268 days 00:00:00
Total Trades,11
Total Closed Trades,11
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],54.54545454545454
Best Trade [%],6.662618544109601
Worst Trade [%],-9.893410871877748
Avg Winning Trade [%],3.019179377431866
Avg Losing Trade [%],-3.645644948505058
Avg Winning Trade Duration,13 days 08:00:00
Avg Losing Trade Duration,26 days 19:12:00
Profit Factor,0.9378053257433324
Expectancy,-10.3435762169118
Sharpe Ratio,0.1426917949404522
Calmar Ratio,-0.035974962127952675
Omega Ratio,1.031799132436507
Sortino Ratio,0.2148453566660098
