,Close
Start,2024-08-05 00:00:00
End,2026-08-05 00:00:00
Period,504 days 00:00:00
Start Value,10000.0
End Value,9222.293312507241
Total Return [%],-7.777066874927587
Benchmark Return [%],-6.062578301282306
Max Gross Exposure [%],100.0
Total Fees Paid,210.60631922875697
Max Drawdown [%],31.944164394334308
Max Drawdown Duration,344 days 00:00:00
Total Trades,10
Total Closed Trades,9
Total Open Trades,1
Open Trade PnL,-1197.0501183099223
Win Rate [%],66.66666666666666
Best Trade [%],9.54818809334198
Worst Trade [%],-16.446170119577054
Avg Winning Trade [%],6.15495324237986
Avg Losing Trade [%],-9.85394916079625
Avg Winning Trade Duration,14 days 20:00:00
Avg Losing Trade Duration,36 days 08:00:00
Profit Factor,1.1163202329319164
Expectancy,46.59371453524045
Sharpe Ratio,-0.023003166175313932
Calmar Ratio,-0.17827023246865475
Omega Ratio,0.995036104823044
Sortino Ratio,-0.03296793225401743
