,ALFAS.IS
Start,2024-07-29 00:00:00
End,2026-07-27 00:00:00
Period,503 days 00:00:00
Start Value,10000.0
End Value,7704.892815541349
Total Return [%],-22.95107184458651
Benchmark Return [%],-31.61394553116783
Max Gross Exposure [%],100.0
Total Fees Paid,123.34273621798076
Max Drawdown [%],39.94489985805867
Max Drawdown Duration,364 days 00:00:00
Total Trades,7
Total Closed Trades,7
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],57.14285714285714
Best Trade [%],6.3189045717585755
Worst Trade [%],-28.935177828384816
Avg Winning Trade [%],2.905983425116095
Avg Losing Trade [%],-10.7390478306912
Avg Winning Trade Duration,10 days 12:00:00
Avg Losing Trade Duration,35 days 08:00:00
Profit Factor,0.32962791925411433
Expectancy,-327.8724549226647
Sharpe Ratio,-0.48216572209269565
Calmar Ratio,-0.4315366002503504
Omega Ratio,0.8776591354383364
Sortino Ratio,-0.6279173503106701
