,Close
Start,2024-08-05 00:00:00
End,2026-08-03 00:00:00
Period,502 days 00:00:00
Start Value,10000.0
End Value,14051.533644572068
Total Return [%],40.51533644572068
Benchmark Return [%],8.654313566631068
Max Gross Exposure [%],100.0
Total Fees Paid,279.8874164013722
Max Drawdown [%],16.292754030553596
Max Drawdown Duration,210 days 00:00:00
Total Trades,12
Total Closed Trades,11
Total Open Trades,1
Open Trade PnL,0.0
Win Rate [%],72.72727272727273
Best Trade [%],11.612954820280098
Worst Trade [%],-3.042694122814565
Avg Winning Trade [%],5.925504580139834
Avg Losing Trade [%],-2.50031529414794
Avg Winning Trade Duration,14 days 03:00:00
Avg Losing Trade Duration,32 days 08:00:00
Profit Factor,6.1273195214537175
Expectancy,421.38622896991194
Sharpe Ratio,1.0161858305762315
Calmar Ratio,1.7221509213493917
Omega Ratio,1.2361079505828978
Sortino Ratio,1.5383614491035653
