Hisse,Strateji,Getiri (%),Max Kayip (%),Sharpe Orani,Calmar Orani,Kar Faktoru,Islem Sayisi
KO,single_ma,-17.88,28.85,-0.79,-0.61,0.63,57
KO,two_ma,-13.14,23.34,-0.61,-0.55,0.36,11
KO,three_ma,-17.05,20.62,-1.15,-0.81,0.23,17
KO,channel,4.25,7.76,0.41,0.54,1.16,49
MCD,single_ma,-12.85,32.95,-0.5,-0.38,0.68,42
MCD,two_ma,3.51,14.36,0.27,0.24,1.36,10
MCD,three_ma,-3.01,14.92,-0.1,-0.2,0.83,14
MCD,channel,0.35,6.2,0.08,0.06,1.02,51
MMM,single_ma,-22.7,34.39,-0.61,-0.65,0.61,49
MMM,two_ma,-54.72,59.38,-2.25,-0.91,0.06,13
MMM,three_ma,-29.9,41.26,-1.2,-0.71,0.27,15
MMM,channel,29.75,9.27,1.51,3.13,2.31,48
MRK,single_ma,-6.53,22.38,-0.02,-0.29,0.89,39
MRK,two_ma,5.1,32.85,0.31,0.15,1.15,9
MRK,three_ma,-29.03,36.05,-1.13,-0.79,0.26,15
MRK,channel,-20.23,20.93,-1.2,-0.95,0.56,44
MS,single_ma,-17.56,37.53,-0.35,-0.46,0.78,40
MS,two_ma,52.16,18.85,1.42,2.7,5.15,4
MS,three_ma,41.87,13.37,1.33,3.05,7.26,9
MS,channel,-29.07,32.32,-1.72,-0.88,0.46,46
NKE,single_ma,-34.05,51.2,-0.72,-0.65,0.67,52
NKE,two_ma,1.96,48.89,0.24,0.04,1.02,14
NKE,three_ma,-4.92,28.24,0.02,-0.17,0.91,17
NKE,channel,12.76,15.08,0.69,0.83,1.32,43
PG,single_ma,-33.9,35.27,-1.63,-0.94,0.38,50
PG,two_ma,-17.56,17.89,-0.76,-0.96,0.05,9
PG,three_ma,-27.3,28.45,-1.78,-0.94,0.11,19
PG,channel,9.38,7.07,0.83,1.3,1.45,44
TRV,single_ma,-34.75,42.74,-1.57,-0.8,0.31,41
TRV,two_ma,-37.91,43.26,-1.89,-0.86,0.17,15
TRV,three_ma,-29.79,33.27,-1.91,-0.88,0.13,16
TRV,channel,-12.68,15.61,-1.14,-0.8,0.55,44
UNH,single_ma,57.75,37.03,1.15,1.52,1.59,39
UNH,two_ma,6.08,37.22,0.37,0.16,1.12,8
UNH,three_ma,7.57,30.06,0.4,0.25,1.15,12
UNH,channel,-47.37,50.56,-2.0,-0.92,0.3,48
V,single_ma,-17.55,33.61,-0.57,-0.51,0.62,41
V,two_ma,-12.14,33.17,-0.36,-0.36,0.53,15
V,three_ma,-25.04,28.64,-1.27,-0.86,0.25,19
V,channel,1.23,8.46,0.16,0.14,1.05,46
VZ,single_ma,-42.23,52.28,-1.74,-0.79,0.41,64
VZ,two_ma,-10.77,24.69,-0.29,-0.43,0.63,12
VZ,three_ma,-28.61,35.17,-1.63,-0.8,0.33,21
VZ,channel,-12.24,13.18,-0.83,-0.91,0.61,33
WMT,single_ma,-42.33,48.73,-1.62,-0.85,0.41,46
WMT,two_ma,-21.85,29.6,-0.72,-0.72,0.4,13
WMT,three_ma,-36.5,39.78,-1.89,-0.9,0.2,16
WMT,channel,1.85,9.71,0.19,0.19,1.06,37
CRM,single_ma,-27.46,47.67,-0.57,-0.57,0.71,44
CRM,two_ma,-43.02,52.71,-1.31,-0.8,0.12,9
CRM,three_ma,-34.68,43.86,-1.22,-0.78,0.39,18
CRM,channel,-24.63,26.17,-1.02,-0.92,0.55,42
